generator,tile_size,num_rounds,batch_size,throughput_GBs
Threefry,N/A,N/A,10000000,0.669461201915593
Tyche V1,4,4,10000000,0.24425474670896571
Tyche V2,16,2,10000000,0.1797889737881535
Tyche V2,16,4,10000000,0.09379720638238365
Tyche V2,16,6,10000000,0.06018880437359271
Tyche V2,16,8,10000000,0.04533242286939527
Tyche V2,32,2,10000000,0.185288541449997
Tyche V2,32,4,10000000,0.10686186174017809
Tyche V2,32,6,10000000,0.061197617098017236
Tyche V2,32,8,10000000,0.05592266454722874
Tyche V2,64,2,10000000,0.12710115922948745
Tyche V2,64,4,10000000,0.06368953220934531
Tyche V2,64,6,10000000,0.0454385713853037
Tyche V2,64,8,10000000,0.03236952673910085
